Name of the firm;How many years have you worked in consulting ?;What is your current Job title ?;How long have you been with your current firm ?;How many hours do you work a week ?;What is your gender ?;What is your age ?;How often do you feel that your work schedule leaves you with little time for personal or family life ?  ;How frequently do you experience work-related stress or burnout ?;How do you think that your company supports work-life balance (e.g., flexible working hours, remote work) ?  ;Do you find your job fulfilling ?;Overall, do you enjoy your work ?;Do you feel a strong alignment between your personal values and your firm«Ω∂?∂?s culture ?  ;How well do you fit within your team and the broader firm ?  ;How satisfied are you with the leadership style at your firm ?  ;Do you feel recognized and valued for your contributions at work ?;Do you feel that your firm«Ω∂?∂?s management is accessible and involved in supporting employees (proximity of management) ?  ;How satisfied are you with the career development opportunities available at your firm ?  ;Do you feel that you have a clear path for promotion within your firm ?  ;Have you received sufficient training and professional development to advance in your career ?  ;How likely are you to leave your firm due to limited career progression ?  ;How satisfied are you with your current salary and benefits package ?  ;Do you feel that your compensation reflects the effort and hours you put into your work ?;To what extent are financial incentives (e.g., bonuses) an important factor in your decision to stay with your firm ?  ;Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [1 Most important];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [2];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [3];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [4];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [5];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [6];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [7 Least important]
Devoteam;10+ years;Partner;7+ years;41 - 50;Male;35 - 44;Rarely;Occasionally;3;2;4;4;5;5;3;4;2;5;4;3;1;4;5;Burnout and stress management;Organizational culture and fit;Job satisfaction and enjoyment;Career development and progression;Career development and progression;Work-life balance;Burnout and stress management
Devoteam;10+ years;Partner;7+ years;51 - 60;Female;35 - 44;Often;Often;5;4;4;3;5;4;3;5;2;3;3;3;2;4;1;Compensation and rewards;Work-life balance;Burnout and stress management;Work-life balance;Burnout and stress management;Burnout and stress management;Organizational culture and fit
IBM Consulting;10+ years;Manager;7+ years;35 - 40;Male;35 - 44;Rarely;Occasionally;5;5;3;4;5;3;5;5;1;4;2;1;4;2;1;Compensation and rewards;Career development and progression;Job satisfaction and enjoyment;Job satisfaction and enjoyment;Compensation and rewards;Career development and progression;Management proximity and support
Boston Consulting Group;1 - 3 years;Junior Consultant;1 - 3 years;51 - 60;Male;< 25;Rarely;Occasionally;4;3;5;4;2;3;4;3;3;3;3;5;1;3;3;Work-life balance;Management proximity and support;Burnout and stress management;Career development and progression;Organizational culture and fit;Compensation and rewards;Burnout and stress management
Devoteam;< 1 year;Analyst;1 year or less;35 - 40;Male;25 - 34;Sometimes;Sometimes;4;5;2;5;2;2;4;2;5;1;2;3;5;5;2;Burnout and stress management;Job satisfaction and enjoyment;Job satisfaction and enjoyment;Job satisfaction and enjoyment;Job satisfaction and enjoyment;Work-life balance;Burnout and stress management
PwC;4 - 6 years;Senior Consultant;4 - 6 years;41 - 50;Female;25 - 34;Rarely;Sometimes;3;2;4;5;3;3;5;4;2;4;5;3;5;1;3;Work-life balance;Work-life balance;Compensation and rewards;Organizational culture and fit;Compensation and rewards;Career development and progression;Organizational culture and fit
Artefact ;< 1 year;Analyst;1 year or less;41 - 50;Male;25 - 34;Sometimes;Sometimes;5;4;3;5;3;4;3;4;2;4;4;5;3;2;1;Compensation and rewards;Work-life balance;Compensation and rewards;Work-life balance;Career development and progression;Management proximity and support;Organizational culture and fit
Oracle;10+ years;Manager;1 - 3 years;35 - 40;Female;55+  ;Sometimes;Occasionally;5;3;2;5;3;5;2;4;4;1;3;1;2;2;2;Management proximity and support;Work-life balance;Compensation and rewards;Organizational culture and fit;Management proximity and support;Work-life balance;Organizational culture and fit
IBM Consulting;4 - 6 years;Senior Consultant;4 - 6 years;41 - 50;Male;35 - 44;Rarely;Sometimes;4;2;3;3;2;3;3;4;2;5;2;5;3;5;4;Job satisfaction and enjoyment;Career development and progression;Burnout and stress management;Organizational culture and fit;Burnout and stress management;Work-life balance;Organizational culture and fit
Devoteam;10+ years;Senior Manager;7+ years;41 - 50;Female;55+;Often;Often;4;4;5;5;5;2;2;5;5;2;5;3;1;2;5;Job satisfaction and enjoyment;Work-life balance;Career development and progression;Career development and progression;Career development and progression;Management proximity and support;Organizational culture and fit
EY;< 1 year;Analyst;1 year or less;51 - 60;Female;< 25;Often;Sometimes;3;5;5;5;4;4;3;5;3;5;2;1;4;3;1;Burnout and stress management;Organizational culture and fit;Job satisfaction and enjoyment;Organizational culture and fit;Career development and progression;Work-life balance;Burnout and stress management
Ekimetrics;4 - 6 years;Senior Consultant;1 - 3 years;51 - 60;Female;25 - 34;Sometimes;Sometimes;3;3;5;3;3;5;4;3;3;1;2;3;1;3;3;Compensation and rewards;Compensation and rewards;Job satisfaction and enjoyment;Organizational culture and fit;Career development and progression;Compensation and rewards;Work-life balance
McKinsey & Company;< 1 year;Intern;1 year or less;51 - 60;Male;< 25;Rarely;Occasionally;4;2;3;5;5;4;4;2;4;5;3;4;1;5;3;Career development and progression;Work-life balance;Burnout and stress management;Job satisfaction and enjoyment;Burnout and stress management;Management proximity and support;Burnout and stress management
Deepia;< 1 year;Junior Consultant;1 year or less;41 - 50;Female;< 25;Sometimes;Often;3;2;4;4;5;4;4;2;2;4;4;3;4;3;4;Burnout and stress management;Management proximity and support;Burnout and stress management;Organizational culture and fit;Organizational culture and fit;Burnout and stress management;Burnout and stress management
Devoteam;10+ years;Manager;7+ years;41 - 50;Female;55+  ;Rarely;Occasionally;5;2;5;3;5;4;3;4;2;2;3;4;2;1;5;Compensation and rewards;Career development and progression;Burnout and stress management;Organizational culture and fit;Compensation and rewards;Career development and progression;Burnout and stress management
Deepia;1 - 3 years;Consultant;1 year or less;35 - 40;Male;< 25;Often;Often;3;3;4;5;4;2;2;4;1;5;3;1;5;1;4;Work-life balance;Management proximity and support;Burnout and stress management;Job satisfaction and enjoyment;Management proximity and support;Burnout and stress management;Organizational culture and fit
Devoteam;4 - 6 years;Senior Consultant;1 - 3 years;41 - 50;Male;25 - 34;Sometimes;Sometimes;3;3;2;3;2;2;5;3;2;2;4;2;2;4;1;Career development and progression;Organizational culture and fit;Career development and progression;Organizational culture and fit;Career development and progression;Burnout and stress management;Burnout and stress management
Artefact ;1 - 3 years;Analyst;1 - 3 years;35 - 40;Male;25 - 34;Rarely;Occasionally;4;5;3;4;2;2;4;3;2;5;5;1;1;3;2;Work-life balance;Career development and progression;Work-life balance;Organizational culture and fit;Organizational culture and fit;Work-life balance;Work-life balance
Oracle;1 - 3 years;Consultant;1 year or less;41 - 50;Female;25 - 34;Often;Sometimes;5;4;2;4;5;5;2;2;1;5;3;4;4;3;2;Work-life balance;Career development and progression;Compensation and rewards;Compensation and rewards;Burnout and stress management;Compensation and rewards;Work-life balance
Capgemini Invent;10+ years;Partner;7+ years;41 - 50;Female;55+  ;Often;Occasionally;4;4;5;3;3;2;5;5;2;5;5;3;5;2;2;Management proximity and support;Career development and progression;Work-life balance;Career development and progression;Job satisfaction and enjoyment;Burnout and stress management;Work-life balance
McKinsey & Company;1 - 3 years;Consultant;1 - 3 years;51 - 60;Male;25 - 34;Often;Sometimes;5;2;3;5;2;3;2;3;4;4;4;4;5;1;5;Job satisfaction and enjoyment;Compensation and rewards;Work-life balance;Career development and progression;Job satisfaction and enjoyment;Burnout and stress management;Burnout and stress management
Deloitte;1 - 3 years;Consultant;1 year or less;51 - 60;Male;< 25;Sometimes;Occasionally;4;2;3;5;5;3;5;3;2;3;5;4;4;2;5;Compensation and rewards;Management proximity and support;Career development and progression;Job satisfaction and enjoyment;Compensation and rewards;Career development and progression;Work-life balance
Devoteam;< 1 year;Intern;1 year or less;41 - 50;Male;< 25;Sometimes;Often;5;2;2;4;5;5;3;5;5;1;2;1;2;3;5;Career development and progression;Compensation and rewards;Burnout and stress management;Work-life balance;Burnout and stress management;Organizational culture and fit;Burnout and stress management
Oracle;4 - 6 years;Senior Consultant;4 - 6 years;41 - 50;Male;25 - 34;Rarely;Occasionally;4;2;5;5;5;2;4;4;3;4;4;4;4;4;4;Job satisfaction and enjoyment;Career development and progression;Job satisfaction and enjoyment;Compensation and rewards;Organizational culture and fit;Organizational culture and fit;Burnout and stress management
EY;10+ years;Director;7+ years;41 - 50;Female;55+;Rarely;Sometimes;4;5;3;4;5;3;5;3;1;5;3;1;5;1;2;Burnout and stress management;Career development and progression;Job satisfaction and enjoyment;Career development and progression;Organizational culture and fit;Burnout and stress management;Management proximity and support
Accenture;10+ years;Director;7+ years;41 - 50;Male;25 - 34;Rarely;Sometimes;5;2;3;4;2;4;2;3;5;1;5;1;4;2;1;Career development and progression;Career development and progression;Burnout and stress management;Organizational culture and fit;Work-life balance;Compensation and rewards;Organizational culture and fit
Deloitte;1 - 3 years;Junior Consultant;1 - 3 years;51 - 60;Female;25 - 34;Sometimes;Occasionally;4;5;5;3;5;4;4;3;3;1;2;1;2;5;5;Compensation and rewards;Management proximity and support;Burnout and stress management;Career development and progression;Career development and progression;Compensation and rewards;Organizational culture and fit
Databricks;1 - 3 years;Consultant;1 - 3 years;41 - 50;Male;25 - 34;Sometimes;Occasionally;4;4;3;3;5;2;4;4;2;1;3;5;2;2;5;Career development and progression;Career development and progression;Work-life balance;Organizational culture and fit;Management proximity and support;Management proximity and support;Organizational culture and fit
Oracle;< 1 year;Analyst;1 year or less;41 - 50;Male;< 25;Sometimes;Sometimes;4;4;5;5;5;5;4;4;4;1;3;4;5;2;4;Management proximity and support;Organizational culture and fit;Work-life balance;Career development and progression;Compensation and rewards;Work-life balance;Burnout and stress management
EY;10+ years;Manager;7+ years;41 - 50;Male;35 - 44;Rarely;Sometimes;3;4;3;4;5;2;3;4;3;3;5;3;5;3;4;Career development and progression;Career development and progression;Work-life balance;Job satisfaction and enjoyment;Compensation and rewards;Work-life balance;Organizational culture and fit
Boston Consulting Group;4 - 6 years;Senior Consultant;1 - 3 years;51 - 60;Male;35 - 44;Sometimes;Occasionally;5;2;5;3;5;2;4;2;2;3;5;5;5;2;3;Burnout and stress management;Work-life balance;Work-life balance;Organizational culture and fit;Work-life balance;Compensation and rewards;Management proximity and support
Devoteam;1 - 3 years;Analyst;1 year or less;41 - 50;Male;< 25;Often;Sometimes;3;3;5;4;4;5;2;4;2;4;4;1;1;2;5;Job satisfaction and enjoyment;Work-life balance;Work-life balance;Compensation and rewards;Compensation and rewards;Career development and progression;Work-life balance
Databricks;10+ years;Partner;7+ years;41 - 50;Female;55+  ;Sometimes;Sometimes;5;4;2;3;4;5;2;3;4;3;4;4;1;1;2;Compensation and rewards;Work-life balance;Work-life balance;Compensation and rewards;Organizational culture and fit;Compensation and rewards;Management proximity and support
Devoteam;< 1 year;Junior Consultant;1 year or less;35 - 40;Female;25 - 34;Often;Occasionally;5;2;5;3;3;4;5;3;2;5;3;3;5;5;1;Burnout and stress management;Organizational culture and fit;Job satisfaction and enjoyment;Organizational culture and fit;Work-life balance;Compensation and rewards;Management proximity and support
Devoteam;< 1 year;Intern;1 year or less;41 - 50;Female;< 25;Sometimes;Often;5;2;2;5;2;4;2;5;2;3;5;1;3;5;1;Work-life balance;Work-life balance;Job satisfaction and enjoyment;Organizational culture and fit;Burnout and stress management;Organizational culture and fit;Organizational culture and fit
McKinsey & Company;1 - 3 years;Junior Consultant;1 year or less;41 - 50;Female;< 25;Sometimes;Occasionally;4;3;5;3;2;3;2;3;2;4;3;1;5;2;4;Job satisfaction and enjoyment;Organizational culture and fit;Burnout and stress management;Compensation and rewards;Management proximity and support;Management proximity and support;Organizational culture and fit
IBM Consulting;10+ years;Senior Manager;7+ years;41 - 50;Male;55+;Sometimes;Often;3;3;3;5;5;2;2;4;2;3;3;2;1;4;3;Compensation and rewards;Organizational culture and fit;Work-life balance;Career development and progression;Work-life balance;Organizational culture and fit;Organizational culture and fit
Artefact ;10+ years;Manager;7+ years;41 - 50;Female;35 - 44;Sometimes;Sometimes;4;3;4;4;3;3;4;4;3;2;4;4;4;1;2;Compensation and rewards;Career development and progression;Job satisfaction and enjoyment;Work-life balance;Organizational culture and fit;Compensation and rewards;Organizational culture and fit
SAS Institute;< 1 year;Junior Consultant;1 year or less;51 - 60;Male;25 - 34;Rarely;Sometimes;4;2;4;4;5;2;5;2;2;4;4;4;4;3;1;Job satisfaction and enjoyment;Management proximity and support;Work-life balance;Job satisfaction and enjoyment;Job satisfaction and enjoyment;Compensation and rewards;Burnout and stress management
Devoteam;4 - 6 years;Senior Consultant;1 - 3 years;35 - 40;Female;35 - 44;Sometimes;Sometimes;3;4;3;5;2;2;2;4;5;2;3;2;5;3;2;Career development and progression;Compensation and rewards;Career development and progression;Compensation and rewards;Compensation and rewards;Career development and progression;Burnout and stress management
KPMG;4 - 6 years;Senior Consultant;4 - 6 years;41 - 50;Female;35 - 44;Often;Occasionally;5;3;5;5;5;5;4;3;5;5;4;4;1;4;3;Career development and progression;Job satisfaction and enjoyment;Compensation and rewards;Job satisfaction and enjoyment;Work-life balance;Compensation and rewards;Work-life balance
Devoteam;1 - 3 years;Junior Consultant;1 - 3 years;35 - 40;Female;< 25;Sometimes;Sometimes;4;5;3;5;2;3;5;3;3;1;5;4;2;5;4;Compensation and rewards;Organizational culture and fit;Burnout and stress management;Compensation and rewards;Management proximity and support;Burnout and stress management;Work-life balance
Artefact ;1 - 3 years;Junior Consultant;1 - 3 years;41 - 50;Male;< 25;Often;Often;5;5;2;5;3;3;3;2;3;5;4;2;2;1;5;Management proximity and support;Organizational culture and fit;Job satisfaction and enjoyment;Compensation and rewards;Management proximity and support;Burnout and stress management;Burnout and stress management
Capgemini;4 - 6 years;Senior Consultant;4 - 6 years;41 - 50;Female;35 - 44;Sometimes;Often;4;5;4;5;4;3;5;4;1;2;3;5;2;2;5;Compensation and rewards;Career development and progression;Burnout and stress management;Work-life balance;Organizational culture and fit;Burnout and stress management;Work-life balance
IBM Consulting;4 - 6 years;Senior Consultant;4 - 6 years;41 - 50;Female;35 - 44;Often;Sometimes;4;3;4;5;5;4;2;3;3;1;3;5;4;1;1;Work-life balance;Organizational culture and fit;Career development and progression;Work-life balance;Compensation and rewards;Burnout and stress management;Organizational culture and fit
Accenture;< 1 year;Analyst;1 year or less;41 - 50;Male;25 - 34;Often;Often;3;3;2;3;3;5;5;5;4;3;5;5;4;4;1;Burnout and stress management;Compensation and rewards;Burnout and stress management;Job satisfaction and enjoyment;Compensation and rewards;Career development and progression;Organizational culture and fit
Deepia;1 - 3 years;Junior Consultant;1 - 3 years;35 - 40;Female;25 - 34;Often;Occasionally;4;4;4;5;4;4;4;5;3;1;5;3;2;5;1;Burnout and stress management;Job satisfaction and enjoyment;Career development and progression;Career development and progression;Management proximity and support;Work-life balance;Burnout and stress management
Boston Consulting Group;< 1 year;Intern;1 year or less;41 - 50;Male;< 25;Rarely;Often;4;5;5;4;5;5;3;5;5;3;5;2;1;3;3;Work-life balance;Compensation and rewards;Work-life balance;Work-life balance;Career development and progression;Work-life balance;Organizational culture and fit
Ekimetrics;10+ years;Senior Manager;7+ years;41 - 50;Female;55+;Sometimes;Occasionally;4;2;3;3;3;4;3;3;2;4;5;3;3;2;3;Compensation and rewards;Organizational culture and fit;Work-life balance;Organizational culture and fit;Compensation and rewards;Compensation and rewards;Burnout and stress management
Devoteam;< 1 year;Intern;1 year or less;41 - 50;Female;< 25;Rarely;Sometimes;4;4;4;4;2;3;4;3;5;3;2;5;4;3;2;Management proximity and support;Career development and progression;Work-life balance;Organizational culture and fit;Career development and progression;Work-life balance;Management proximity and support
Capgemini Invent;1 - 3 years;Consultant;1 year or less;41 - 50;Male;25 - 34;Sometimes;Occasionally;3;4;3;4;5;4;5;3;4;1;2;3;3;2;3;Job satisfaction and enjoyment;Compensation and rewards;Burnout and stress management;Job satisfaction and enjoyment;Burnout and stress management;Organizational culture and fit;Work-life balance
Artefact ;10+ years;Partner;7+ years;41 - 50;Male;35 - 44;Often;Occasionally;3;3;4;5;4;2;2;3;2;2;3;4;2;1;4;Career development and progression;Work-life balance;Career development and progression;Compensation and rewards;Work-life balance;Management proximity and support;Management proximity and support
Devoteam;< 1 year;Intern;1 year or less;51 - 60;Female;< 25;Sometimes;Occasionally;5;2;3;5;4;3;5;5;2;5;5;5;5;5;2;Compensation and rewards;Organizational culture and fit;Burnout and stress management;Career development and progression;Work-life balance;Burnout and stress management;Burnout and stress management
Devoteam;< 1 year;Intern;1 year or less;35 - 40;Female;< 25;Rarely;Often;4;3;4;4;4;5;5;2;3;4;5;4;4;1;4;Burnout and stress management;Job satisfaction and enjoyment;Job satisfaction and enjoyment;Organizational culture and fit;Management proximity and support;Burnout and stress management;Burnout and stress management
Deloitte;4 - 6 years;Project Manager;4 - 6 years;41 - 50;Male;35 - 44;Often;Sometimes;5;2;2;3;2;2;2;5;3;5;2;1;5;5;1;Job satisfaction and enjoyment;Career development and progression;Compensation and rewards;Organizational culture and fit;Organizational culture and fit;Management proximity and support;Management proximity and support
Devoteam;< 1 year;Intern;1 year or less;35 - 40;Female;< 25;Often;Sometimes;5;2;2;4;4;5;5;5;5;1;4;5;3;1;4;Compensation and rewards;Job satisfaction and enjoyment;Compensation and rewards;Job satisfaction and enjoyment;Burnout and stress management;Work-life balance;Organizational culture and fit
Databricks;4 - 6 years;Senior Consultant;1 - 3 years;51 - 60;Female;35 - 44;Often;Often;4;5;3;5;4;3;3;3;4;5;4;5;4;2;4;Burnout and stress management;Career development and progression;Career development and progression;Compensation and rewards;Career development and progression;Management proximity and support;Management proximity and support
Devoteam;1 - 3 years;Analyst;1 - 3 years;41 - 50;Female;25 - 34;Rarely;Often;5;4;5;4;5;3;4;2;4;4;4;4;3;3;3;Work-life balance;Organizational culture and fit;Job satisfaction and enjoyment;Organizational culture and fit;Compensation and rewards;Career development and progression;Management proximity and support
McKinsey & Company;1 - 3 years;Analyst;1 - 3 years;41 - 50;Male;25 - 34;Sometimes;Sometimes;4;4;3;3;4;5;2;5;1;1;5;5;3;5;2;Job satisfaction and enjoyment;Career development and progression;Compensation and rewards;Work-life balance;Organizational culture and fit;Management proximity and support;Organizational culture and fit
Accenture;1 - 3 years;Consultant;1 - 3 years;41 - 50;Female;35 - 44;Often;Often;4;5;3;3;4;2;4;4;2;1;2;3;3;1;1;Burnout and stress management;Organizational culture and fit;Work-life balance;Organizational culture and fit;Burnout and stress management;Burnout and stress management;Organizational culture and fit
Accenture;10+ years;Partner;4 - 6 years;41 - 50;Female;35 - 44;Sometimes;Occasionally;5;3;5;4;3;3;2;4;4;2;4;2;3;1;1;Job satisfaction and enjoyment;Career development and progression;Burnout and stress management;Organizational culture and fit;Career development and progression;Career development and progression;Organizational culture and fit
Deepia;< 1 year;Junior Consultant;1 year or less;41 - 50;Male;< 25;Often;Occasionally;3;3;2;5;3;2;3;2;3;2;4;5;2;2;4;Management proximity and support;Job satisfaction and enjoyment;Compensation and rewards;Organizational culture and fit;Organizational culture and fit;Organizational culture and fit;Organizational culture and fit
Capgemini;1 - 3 years;Consultant;1 - 3 years;41 - 50;Male;< 25;Often;Occasionally;3;3;3;3;5;3;3;4;4;3;3;5;1;1;1;Work-life balance;Work-life balance;Work-life balance;Job satisfaction and enjoyment;Compensation and rewards;Work-life balance;Organizational culture and fit
Accenture;< 1 year;Junior Consultant;1 year or less;41 - 50;Male;< 25;Sometimes;Sometimes;5;4;2;5;5;2;2;3;5;3;2;2;1;3;2;Compensation and rewards;Compensation and rewards;Career development and progression;Job satisfaction and enjoyment;Career development and progression;Management proximity and support;Burnout and stress management
Databricks;1 - 3 years;Analyst;1 - 3 years;41 - 50;Male;25 - 34;Rarely;Sometimes;5;4;2;4;4;3;5;3;4;4;5;5;2;5;5;Job satisfaction and enjoyment;Job satisfaction and enjoyment;Work-life balance;Career development and progression;Management proximity and support;Organizational culture and fit;Work-life balance
Deepia;10+ years;Partner;7+ years;41 - 50;Male;35 - 44;Often;Occasionally;4;5;5;4;5;2;3;5;2;5;3;1;3;1;2;Job satisfaction and enjoyment;Career development and progression;Burnout and stress management;Career development and progression;Organizational culture and fit;Compensation and rewards;Work-life balance
Capgemini Invent;< 1 year;Intern;1 year or less;41 - 50;Male;< 25;Rarely;Often;3;4;5;5;3;3;2;3;1;2;4;5;3;1;4;Management proximity and support;Career development and progression;Career development and progression;Job satisfaction and enjoyment;Career development and progression;Burnout and stress management;Burnout and stress management
Devoteam;< 1 year;Analyst;1 year or less;41 - 50;Female;25 - 34;Rarely;Occasionally;4;2;5;5;4;4;3;3;2;5;4;5;1;3;3;Management proximity and support;Management proximity and support;Work-life balance;Job satisfaction and enjoyment;Burnout and stress management;Compensation and rewards;Burnout and stress management
PwC;10+ years;Manager;7+ years;41 - 50;Female;35 - 44;Often;Occasionally;4;5;3;4;4;5;3;4;5;5;5;1;2;5;5;Compensation and rewards;Work-life balance;Burnout and stress management;Organizational culture and fit;Management proximity and support;Management proximity and support;Burnout and stress management
EY;10+ years;Director;7+ years;41 - 50;Male;55+;Rarely;Occasionally;5;2;4;3;2;3;2;3;4;2;3;1;2;2;1;Job satisfaction and enjoyment;Organizational culture and fit;Burnout and stress management;Organizational culture and fit;Organizational culture and fit;Organizational culture and fit;Organizational culture and fit
Capgemini Invent;< 1 year;Analyst;1 year or less;41 - 50;Female;25 - 34;Sometimes;Sometimes;4;2;3;3;4;4;4;5;3;1;2;4;4;1;1;Career development and progression;Compensation and rewards;Work-life balance;Job satisfaction and enjoyment;Compensation and rewards;Management proximity and support;Burnout and stress management
SAS Institute;< 1 year;Intern;1 year or less;41 - 50;Female;< 25;Often;Sometimes;3;4;4;4;3;3;2;4;1;4;4;1;1;5;5;Job satisfaction and enjoyment;Compensation and rewards;Burnout and stress management;Compensation and rewards;Organizational culture and fit;Burnout and stress management;Work-life balance
Devoteam;1 - 3 years;Consultant;1 - 3 years;51 - 60;Male;25 - 34;Sometimes;Often;5;3;4;3;5;2;3;3;5;3;5;1;5;5;2;Job satisfaction and enjoyment;Organizational culture and fit;Compensation and rewards;Work-life balance;Job satisfaction and enjoyment;Management proximity and support;Burnout and stress management
PwC;< 1 year;Junior Consultant;1 year or less;51 - 60;Female;< 25;Sometimes;Occasionally;5;4;4;3;2;2;3;4;5;2;4;5;3;5;2;Career development and progression;Job satisfaction and enjoyment;Burnout and stress management;Career development and progression;Job satisfaction and enjoyment;Management proximity and support;Management proximity and support
IBM Consulting;10+ years;Senior Manager;7+ years;41 - 50;Male;35 - 44;Rarely;Often;5;2;4;4;3;3;5;3;4;1;3;4;1;1;2;Job satisfaction and enjoyment;Management proximity and support;Work-life balance;Organizational culture and fit;Career development and progression;Organizational culture and fit;Organizational culture and fit
SAS Institute;1 - 3 years;Consultant;1 - 3 years;35 - 40;Female;< 25;Often;Occasionally;3;5;5;5;4;4;4;4;1;4;2;2;4;4;4;Career development and progression;Work-life balance;Burnout and stress management;Compensation and rewards;Work-life balance;Compensation and rewards;Burnout and stress management
McKinsey & Company;< 1 year;Intern;1 year or less;51 - 60;Male;< 25;Often;Often;4;5;5;3;2;5;4;3;1;3;3;2;1;4;4;Work-life balance;Work-life balance;Career development and progression;Work-life balance;Job satisfaction and enjoyment;Career development and progression;Organizational culture and fit
Devoteam;< 1 year;Junior Consultant;1 year or less;41 - 50;Female;25 - 34;Sometimes;Occasionally;5;2;3;5;4;5;5;4;3;1;3;5;4;5;4;Burnout and stress management;Career development and progression;Job satisfaction and enjoyment;Work-life balance;Work-life balance;Organizational culture and fit;Organizational culture and fit
Capgemini Invent;< 1 year;Analyst;1 year or less;51 - 60;Female;25 - 34;Sometimes;Often;3;5;3;4;2;2;2;3;5;3;3;5;2;4;4;Career development and progression;Organizational culture and fit;Work-life balance;Compensation and rewards;Organizational culture and fit;Compensation and rewards;Work-life balance
KPMG;4 - 6 years;Project Manager;1 - 3 years;41 - 50;Male;25 - 34;Rarely;Often;3;2;2;3;2;2;2;4;3;2;4;3;5;5;1;Job satisfaction and enjoyment;Management proximity and support;Compensation and rewards;Career development and progression;Job satisfaction and enjoyment;Management proximity and support;Burnout and stress management
EY;10+ years;Director;7+ years;41 - 50;Male;35 - 44;Sometimes;Often;4;4;3;5;4;5;3;3;3;1;3;4;4;2;4;Work-life balance;Job satisfaction and enjoyment;Work-life balance;Work-life balance;Career development and progression;Career development and progression;Organizational culture and fit
Oracle;1 - 3 years;Consultant;1 year or less;35 - 40;Male;25 - 34;Often;Often;4;3;5;3;3;3;5;4;5;1;4;1;4;1;3;Job satisfaction and enjoyment;Compensation and rewards;Career development and progression;Compensation and rewards;Job satisfaction and enjoyment;Work-life balance;Management proximity and support
Devoteam;< 1 year;Junior Consultant;1 year or less;41 - 50;Male;25 - 34;Sometimes;Occasionally;3;4;5;4;4;2;4;2;4;2;3;1;2;2;5;Work-life balance;Work-life balance;Compensation and rewards;Career development and progression;Work-life balance;Work-life balance;Organizational culture and fit
PwC;1 - 3 years;Consultant;1 - 3 years;41 - 50;Female;25 - 34;Often;Often;3;2;4;5;2;5;3;3;4;2;3;1;3;4;2;Burnout and stress management;Compensation and rewards;Burnout and stress management;Work-life balance;Organizational culture and fit;Work-life balance;Organizational culture and fit
Capgemini Invent;10+ years;Manager;7+ years;41 - 50;Male;55+  ;Often;Occasionally;3;4;3;5;2;3;3;5;3;5;5;4;3;3;5;Job satisfaction and enjoyment;Compensation and rewards;Work-life balance;Organizational culture and fit;Compensation and rewards;Compensation and rewards;Burnout and stress management
Deloitte;< 1 year;Intern;1 year or less;51 - 60;Female;< 25;Often;Occasionally;3;5;2;4;4;5;2;4;1;5;3;2;4;5;3;Burnout and stress management;Job satisfaction and enjoyment;Burnout and stress management;Job satisfaction and enjoyment;Career development and progression;Management proximity and support;Management proximity and support
Deloitte;4 - 6 years;Senior Consultant;4 - 6 years;41 - 50;Male;35 - 44;Often;Sometimes;5;4;4;3;2;5;5;3;2;1;5;1;2;1;1;Compensation and rewards;Career development and progression;Compensation and rewards;Compensation and rewards;Job satisfaction and enjoyment;Career development and progression;Burnout and stress management
Capgemini Invent;1 - 3 years;Junior Consultant;1 - 3 years;41 - 50;Male;25 - 34;Often;Sometimes;5;4;3;4;5;2;2;2;1;4;3;1;1;4;1;Compensation and rewards;Organizational culture and fit;Burnout and stress management;Job satisfaction and enjoyment;Job satisfaction and enjoyment;Work-life balance;Management proximity and support
McKinsey & Company;4 - 6 years;Sales / Business Development;1 - 3 years;51 - 60;Female;25 - 34;Rarely;Sometimes;3;2;3;5;4;5;3;2;3;2;5;4;4;4;3;Career development and progression;Job satisfaction and enjoyment;Career development and progression;Job satisfaction and enjoyment;Compensation and rewards;Work-life balance;Burnout and stress management
Boston Consulting Group;1 - 3 years;Junior Consultant;1 year or less;41 - 50;Female;25 - 34;Often;Often;3;3;4;4;5;3;3;5;4;2;4;2;5;4;4;Compensation and rewards;Job satisfaction and enjoyment;Burnout and stress management;Compensation and rewards;Organizational culture and fit;Management proximity and support;Work-life balance
Capgemini;1 - 3 years;Consultant;1 year or less;41 - 50;Male;25 - 34;Often;Occasionally;5;3;4;4;4;3;5;3;1;3;4;1;5;5;1;Burnout and stress management;Management proximity and support;Burnout and stress management;Work-life balance;Compensation and rewards;Burnout and stress management;Burnout and stress management
McKinsey & Company;10+ years;Director;4 - 6 years;41 - 50;Male;35 - 44;Rarely;Often;4;4;2;5;2;5;5;3;3;4;5;4;2;2;4;Career development and progression;Career development and progression;Career development and progression;Organizational culture and fit;Burnout and stress management;Compensation and rewards;Burnout and stress management
